month,median_price,median_price_index
1995-01-01,54000.0,100.0
1995-02-01,53000.0,98.14814814814815
1995-03-01,53000.0,98.14814814814815
1995-04-01,54500.0,100.92592592592592
1995-05-01,54500.0,100.92592592592592
1995-06-01,55000.0,101.85185185185185
1995-07-01,56000.0,103.70370370370371
1995-08-01,56000.0,103.70370370370371
1995-09-01,55000.0,101.85185185185185
1995-10-01,54000.0,100.0
1995-11-01,54000.0,100.0
1995-12-01,55000.0,101.85185185185185
1996-01-01,54000.0,100.0
1996-02-01,53250.0,98.61111111111111
1996-03-01,53500.0,99.07407407407408
1996-04-01,55000.0,101.85185185185185
1996-05-01,56000.0,103.70370370370371
1996-06-01,57000.0,105.55555555555556
1996-07-01,58000.0,107.4074074074074
1996-08-01,59000.0,109.25925925925925
1996-09-01,58000.0,107.4074074074074
1996-10-01,57500.0,106.48148148148148
1996-11-01,57995.0,107.39814814814815
1996-12-01,59000.0,109.25925925925925
1997-01-01,58000.0,107.4074074074074
1997-02-01,58000.0,107.4074074074074
1997-03-01,57750.0,106.94444444444444
1997-04-01,59500.0,110.18518518518519
1997-05-01,60000.0,111.11111111111111
1997-06-01,60000.0,111.11111111111111
1997-07-01,62250.0,115.27777777777777
1997-08-01,62500.0,115.74074074074075
1997-09-01,62000.0,114.81481481481481
1997-10-01,60000.0,111.11111111111111
1997-11-01,61000.0,112.96296296296296
1997-12-01,63000.0,116.66666666666667
1998-01-01,62000.0,114.81481481481481
1998-02-01,60000.0,111.11111111111111
1998-03-01,62000.0,114.81481481481481
1998-04-01,64995.0,120.36111111111111
1998-05-01,65000.0,120.37037037037037
1998-06-01,66000.0,122.22222222222223
1998-07-01,67000.0,124.07407407407408
1998-08-01,67500.0,125.0
1998-09-01,67000.0,124.07407407407408
1998-10-01,65000.0,120.37037037037037
1998-11-01,65500.0,121.29629629629629
1998-12-01,66500.0,123.14814814814815
1999-01-01,65950.0,122.12962962962963
1999-02-01,66000.0,122.22222222222223
1999-03-01,67500.0,125.0
1999-04-01,69000.0,127.77777777777777
1999-05-01,70000.0,129.62962962962962
1999-06-01,73000.0,135.1851851851852
1999-07-01,74450.0,137.87037037037038
1999-08-01,75000.0,138.88888888888889
1999-09-01,76000.0,140.74074074074073
1999-10-01,75000.0,138.88888888888889
1999-11-01,75000.0,138.88888888888889
