county,n_sales,avg_price,median_price,p10,p25,p75,p90,iqr,p90_p10_spread
CITY OF KINGSTON UPON HULL,90482,79188.84622355827,63950.0,25000.0,38000.0,97000.0,135000.0,59000.0,110000.0
PORTSMOUTH,90377,135814.65629529636,120000.0,47619.20000000001,70000.0,166000.0,227000.0,96000.0,179380.8
SOUTHEND-ON-SEA,87798,155115.07276931137,129995.0,44000.0,71000.0,197192.5,285000.0,126192.5,241000.0
CITY OF DERBY,87152,119560.83586148339,100000.0,37500.0,62000.0,148000.0,209000.0,86000.0,171500.0
CITY OF NOTTINGHAM,86361,118321.62611595512,90250.0,40000.0,63000.0,132995.0,188000.0,69995.0,148000.0
YORK,83893,163385.69948625035,141000.0,54000.0,84500.0,197000.0,279995.0,112500.0,225995.0
SWANSEA,83490,117311.73784884418,92362.0,37000.0,55995.0,144000.0,210000.0,88005.0,173000.0
WARRINGTON,80074,143660.11605514897,115000.0,44665.00000000001,69950.0,174995.0,260000.0,105045.0,215335.0
LUTON,77774,125629.83560058632,115000.0,42000.0,64995.0,160000.0,217500.0,95005.0,175500.0
RHONDDA CYNON TAFF,77301,85384.84359840106,68000.0,25000.0,40000.0,111000.0,167500.0,71000.0,142500.0
POOLE,76862,215331.65041242747,167000.0,60000.0,96000.0,245000.0,375000.0,149000.0,315000.0
STOCKTON-ON-TEES,75493,112603.92730451829,90500.0,35000.0,55000.0,141000.0,201500.0,86000.0,166500.0
ISLE OF WIGHT,73681,150234.7856299453,129950.0,46000.0,74000.0,190000.0,265000.0,116000.0,219000.0
TORBAY,72531,140650.59657250004,123500.0,46000.0,70000.0,177500.0,248000.0,107500.0,202000.0
READING,71281,194882.1500399826,163500.0,64000.0,107000.0,228000.0,315000.0,121000.0,251000.0
WOKINGHAM,71229,260506.2822445914,222000.0,91500.0,143500.0,320000.0,450000.0,176500.0,358500.0
CITY OF PETERBOROUGH,70022,136807.5183085316,116500.0,48000.0,77500.0,161495.75,220000.0,83995.75,172000.0
THURROCK,69498,149159.12171573282,134250.0,48500.0,78000.0,189500.0,254000.0,111500.0,205500.0
BATH AND NORTH EAST SOMERSET,69446,231036.53730956427,178000.0,68000.0,114950.0,271000.0,420750.0,156050.0,352750.0
BLACKPOOL,66558,87293.55526007392,75000.0,34870.00000000007,47500.0,112000.0,148000.0,64500.0,113129.99999999993
NORTH EAST LINCOLNSHIRE,64109,89434.93746587842,72950.0,29000.0,44995.0,119500.0,165000.0,74505.0,136000.0
WINDSOR AND MAIDENHEAD,62270,337424.9487072427,249950.0,97500.0,158000.0,387500.0,615000.0,229500.0,517500.0
HEREFORDSHIRE,62218,179401.92155003376,152000.0,63998.5,99000.0,225000.0,325000.0,126000.0,261001.5
NORTH LINCOLNSHIRE,59091,103202.55648068234,88000.0,35000.0,53000.0,130000.0,184747.0,77000.0,149747.0
WEST BERKSHIRE,57866,262618.5361352089,212500.0,104000.0,149500.0,305000.0,450000.0,155500.0,346000.0
WREKIN,57607,126665.31254882218,112000.0,45500.0,72631.5,160000.0,220000.0,87368.5,174500.0
COUNTY DURHAM,57023,127794.96389176298,101995.0,42000.0,65000.0,155000.0,221000.0,90000.0,179000.0
CARMARTHENSHIRE,54991,111249.09512465676,92000.0,34625.0,55000.0,145000.0,205000.0,90000.0,170375.0
BRACKNELL FOREST,54815,218858.64728632674,179950.0,78000.0,120000.0,264525.5,370000.0,144525.5,292000.0
CAERPHILLY,54501,95941.6617493257,82500.0,34000.0,50000.0,124000.0,172995.0,74000.0,138995.0
NEWPORT,52233,121665.4401240595,100000.0,38500.0,60000.0,150000.0,219910.00000000058,90000.0,181410.00000000058
CHESHIRE EAST,51754,239435.01891641226,180000.0,89250.0,124795.0,275000.0,425000.0,150205.0,335750.0
SLOUGH,51504,169794.6656764523,145000.0,59000.0,89950.0,209950.0,280000.0,120000.0,221000.0
THE VALE OF GLAMORGAN,50870,154246.14843719284,124850.0,48000.0,75950.0,190000.0,288000.0,114050.0,240000.0
MIDDLESBROUGH,49014,91655.78622434406,70000.0,25000.0,42762.5,120000.0,172950.0,77237.5,147950.0
FLINTSHIRE,48360,125883.20771298594,108982.5,43000.0,66000.0,155000.0,222049.49999999927,89000.0,179049.49999999927
BLACKBURN WITH DARWEN,48317,89469.55889231534,70000.0,25227.0,42950.0,112000.0,160000.0,69050.0,134773.0
BRIDGEND,47647,112344.63846622033,95000.0,39950.0,59500.0,145000.0,201000.0,85500.0,161050.0
REDCAR AND CLEVELAND,46654,98673.87154370472,84000.0,32000.0,50000.0,130000.0,178000.0,80000.0,146000.0
DARLINGTON,46539,107559.2363179269,85000.0,32950.0,52364.5,135000.0,195000.0,82635.5,162050.0
CONWY,46076,125954.86997569233,110000.0,42000.0,62500.0,160000.0,229950.0,97500.0,187950.0
NEATH PORT TALBOT,43787,87954.0969237445,75000.0,30000.0,45000.0,112500.0,160000.0,67500.0,130000.0
GWYNEDD,41843,114938.88251320412,89950.0,32500.0,50000.0,150000.0,220000.0,100000.0,187500.0
CENTRAL BEDFORDSHIRE,41260,255509.90630150266,220000.0,125000.0,163500.0,291962.5,399950.0,128462.5,274950.0
CHESHIRE WEST AND CHESTER,41153,218587.22161203314,169995.0,90000.0,123000.0,248000.0,367000.0,125000.0,277000.0
HALTON,39626,112392.56059153081,89500.0,35950.0,57500.0,135000.0,204000.0,77500.0,168050.0
WREXHAM,39116,123111.48724307188,107500.0,41000.0,64950.0,152500.0,217500.0,87550.0,176500.0
PEMBROKESHIRE,38903,134322.4069351978,117000.0,40000.0,64950.0,175000.0,247500.0,110050.0,207500.0
POWYS,38470,136949.14754354043,118205.0,43000.0,68500.0,180000.0,250000.0,111500.0,207000.0
HARTLEPOOL,35933,87847.26173712187,68000.0,23000.0,39500.0,116000.0,169950.0,76500.0,146950.0
DENBIGHSHIRE,34526,111145.43193535307,95000.0,38751.0,56750.0,140000.0,197000.0,83250.0,158249.0
MONMOUTHSHIRE,32434,175772.41018684098,145000.0,57500.0,90000.0,219995.0,310000.0,129995.0,252500.0
TORFAEN,26825,100612.97293569431,88000.0,33640.00000000001,51000.0,127000.0,185000.0,76000.0,151360.0
BEDFORD,22963,239986.35518007228,200000.0,112000.0,148000.0,271250.0,387000.0,123250.0,275000.0
ISLE OF ANGLESEY,22297,125567.83051531596,102500.0,38216.799999999996,59950.0,163000.0,236000.0,103050.0,197783.2
CEREDIGION,20987,137702.62500595607,120000.0,45000.0,68000.0,180000.0,245000.0,112000.0,200000.0
BLAENAU GWENT,18548,66804.1127884408,56000.0,20179.500000000007,34500.0,83500.0,125000.0,49000.0,104820.5
MERTHYR TYDFIL,16722,77804.16732448271,62950.0,22500.0,36000.0,95000.0,155000.0,59000.0,132500.0
AVON,16500,64468.44303030303,54000.0,32500.0,42000.0,76000.0,108000.0,34000.0,75500.0
RUTLAND,16285,204932.7152594412,165000.0,63000.0,105825.0,250000.0,380000.0,144175.0,317000.0
HUMBERSIDE,14436,47624.43938764201,41500.0,23000.0,31000.0,56950.0,79000.0,25950.0,56000.0
BERKSHIRE,9257,97505.01933671816,80000.0,50000.0,62500.0,117000.0,165000.0,54500.0,115000.0
THAMESDOWN,8882,61619.36590857915,53997.5,35000.0,42000.0,71000.0,98000.0,29000.0,63000.0
HEREFORD AND WORCESTER,7880,68889.42614213198,58000.0,36000.0,44000.0,82000.0,119545.00000000016,38000.0,83545.00000000016
MID GLAMORGAN,5846,43442.93807731783,39000.0,17500.0,28950.0,53000.0,75000.0,24050.0,57500.0
CLWYD,5171,51170.11255076388,44500.0,27000.0,35500.0,59950.0,83000.0,24450.0,56000.0
DYFED,2794,46122.21725125268,41000.0,22000.0,31000.0,57000.0,73995.0,26000.0,51995.0
WEST GLAMORGAN,2048,42205.2021484375,38900.0,19000.0,29500.0,50300.0,67500.0,20800.0,48500.0
GWENT,1897,58406.07643647865,49000.0,28000.0,37000.0,74000.0,96000.0,37000.0,68000.0
SOUTH GLAMORGAN,1775,63573.95492957746,52950.0,30000.0,39500.0,74000.0,110000.0,34500.0,80000.0
CLEVELAND,1766,46359.44790486976,42500.0,24000.0,33000.0,55000.0,72575.0,22000.0,48575.0
ISLES OF SCILLY,473,261104.73361522198,230000.0,84190.0,148500.0,342500.0,450000.0,194000.0,365810.0
