property_type,sales_volume,total_revenue,avg_price,median_price,new_build_rate,freehold_rate
T,6918811,944653090512.0,136534.02159879782,100000.0,0.05768520053517866,0.906812456648982
S,6216218,926014602429.0,148967.52373050625,124000.0,0.06126603024540002,0.9248979041597318
D,5170327,1293085687164.0,250097.46717451332,199000.0,0.1489656263520663,0.9615469195662093
F,4083424,714529359470.0,174982.8965765005,129000.0,0.1814200533669783,0.02614472560282743
O,100568,130313375050.0,1295773.7555683716,250000.0,0.05667806857051945,0.7428506085434731
