county,sales_volume,total_revenue,avg_price,median_price
DARLINGTON,46539,5005699299.0,107559.2363179269,85000.0
CONWY,46076,5803496589.0,125954.86997569233,110000.0
NEATH PORT TALBOT,43787,3851246042.0,87954.0969237445,75000.0
GWYNEDD,41843,4809387661.0,114938.88251320412,89950.0
CENTRAL BEDFORDSHIRE,41260,10542338734.0,255509.90630150266,220000.0
CHESHIRE WEST AND CHESTER,41153,8995519931.0,218587.22161203314,169995.0
HALTON,39626,4453667606.0,112392.56059153081,89500.0
WREXHAM,39116,4815628935.0,123111.48724307188,107500.0
PEMBROKESHIRE,38903,5225544597.0,134322.4069351978,117000.0
POWYS,38470,5268433706.0,136949.14754354043,118205.0
HARTLEPOOL,35933,3156615656.0,87847.26173712187,68000.0
DENBIGHSHIRE,34526,3837407183.0,111145.43193535307,95000.0
MONMOUTHSHIRE,32434,5701002352.0,175772.41018684098,145000.0
TORFAEN,26825,2698942999.0,100612.97293569431,88000.0
BEDFORD,22963,5510806674.0,239986.35518007228,200000.0
ISLE OF ANGLESEY,22297,2799785917.0,125567.83051531596,102500.0
CEREDIGION,20987,2889964991.0,137702.62500595607,120000.0
BLAENAU GWENT,18548,1239082684.0,66804.1127884408,56000.0
MERTHYR TYDFIL,16722,1301041286.0,77804.16732448271,62950.0
AVON,16500,1063729310.0,64468.44303030303,54000.0
RUTLAND,16285,3337329268.0,204932.7152594412,165000.0
HUMBERSIDE,14436,687506407.0,47624.43938764201,41500.0
BERKSHIRE,9257,902603964.0,97505.01933671816,80000.0
THAMESDOWN,8882,547303208.0,61619.36590857915,53997.5
HEREFORD AND WORCESTER,7880,542848678.0,68889.42614213198,58000.0
MID GLAMORGAN,5846,253967416.0,43442.93807731783,39000.0
CLWYD,5171,264600652.0,51170.11255076388,44500.0
DYFED,2794,128865475.0,46122.21725125268,41000.0
WEST GLAMORGAN,2048,86436254.0,42205.2021484375,38900.0
GWENT,1897,110796327.0,58406.07643647865,49000.0
SOUTH GLAMORGAN,1775,112843770.0,63573.95492957746,52950.0
CLEVELAND,1766,81870785.0,46359.44790486976,42500.0
ISLES OF SCILLY,473,123502539.0,261104.73361522198,230000.0
