month,property_type,duration,sales_volume,median_price,total_revenue
1996-02-01,S,F,15018,53250.0,911005576.0
1996-02-01,S,L,1275,47500.0,63433780.0
1996-02-01,T,F,16060,43000.0,823708276.0
1996-02-01,T,L,1675,33000.0,68918691.0
1996-03-01,D,F,16609,85000.0,1711846291.0
1996-03-01,D,L,733,76950.0,63045754.0
1996-03-01,F,F,313,45000.0,19664701.0
1996-03-01,F,L,9617,45000.0,569281727.0
1996-03-01,S,F,20446,53000.0,1219970750.0
1996-03-01,S,L,1745,48000.0,87668529.0
1996-03-01,T,F,21491,43000.0,1091292467.0
1996-03-01,T,L,2200,32500.0,82026413.0
1996-04-01,D,F,15981,88000.0,1726907335.0
1996-04-01,D,L,587,76000.0,49270664.0
1996-04-01,F,F,298,41000.0,15820592.0
1996-04-01,F,L,9110,46000.0,564404191.0
1996-04-01,S,F,19036,54000.0,1183290805.0
1996-04-01,S,L,1693,48000.0,88672917.0
1996-04-01,T,F,19550,44000.0,1041009085.0
1996-04-01,T,L,1979,33700.0,84018387.0
1996-05-01,D,F,20186,87608.0,2129094709.0
1996-05-01,D,L,773,76000.0,65917049.0
1996-05-01,F,F,335,40000.0,21713385.0
1996-05-01,F,L,10935,47000.0,680679969.0
1996-05-01,S,F,23660,54500.0,1466827910.0
1996-05-01,S,L,2015,48000.0,102499966.0
1996-05-01,T,F,23328,44950.0,1240026626.0
1996-05-01,T,L,2350,34500.0,96473139.0
1996-06-01,D,F,20122,89000.0,2155000806.0
1996-06-01,D,L,784,77775.0,68980513.0
1996-06-01,F,F,321,42500.0,19181891.0
1996-06-01,F,L,10632,48000.0,685973040.0
1996-06-01,S,F,22235,54950.0,1388199479.0
1996-06-01,S,L,1951,49000.0,99971957.0
1996-06-01,T,F,21713,45000.0,1167404167.0
1996-06-01,T,L,2202,34600.0,91718277.0
1996-07-01,D,F,22493,90000.0,2492826632.0
1996-07-01,D,L,786,79000.0,69294672.0
1996-07-01,F,F,385,46500.0,27908891.0
1996-07-01,F,L,11758,49000.0,763955828.0
1996-07-01,S,F,25062,55500.0,1627198872.0
1996-07-01,S,L,2119,48500.0,112738125.0
1996-07-01,T,F,25229,46000.0,1445355510.0
1996-07-01,T,L,2332,34950.0,104999665.0
1996-08-01,D,F,24995,92950.0,2830367396.0
1996-08-01,D,L,806,79825.0,73317294.0
1996-08-01,F,F,415,44000.0,29740630.0
1996-08-01,F,L,12371,49300.0,808474515.0
1996-08-01,S,F,26809,56000.0,1741028365.0
1996-08-01,S,L,2325,49950.0,122642276.0
1996-08-01,T,F,26244,46750.0,1485136017.0
1996-08-01,T,L,2478,35125.0,110840522.0
1996-09-01,D,F,21309,91000.0,2380741015.0
1996-09-01,D,L,788,78200.0,70727943.0
1996-09-01,F,F,326,44000.0,18925848.0
1996-09-01,F,L,11393,50000.0,773634439.0
1996-09-01,S,F,23149,55500.0,1489132415.0
1996-09-01,S,L,1920,49950.0,104339247.0
1996-09-01,T,F,23616,46000.0,1309110146.0
1996-09-01,T,L,2292,34950.0,102388816.0
1996-10-01,D,F,22512,90000.0,2515357867.0
1996-10-01,D,L,856,78000.0,82524390.0
1996-10-01,F,F,397,42750.0,24417291.0
1996-10-01,F,L,12525,48000.0,807126386.0
1996-10-01,S,F,25295,55500.0,1614205851.0
1996-10-01,S,L,2168,49950.0,114164439.0
1996-10-01,T,F,25298,45250.0,1391723036.0
1996-10-01,T,L,2470,34300.0,108613560.0
1996-11-01,D,F,24433,90000.0,2695359414.0
1996-11-01,D,L,855,78000.0,79544305.0
1996-11-01,F,F,412,46000.0,26735465.0
1996-11-01,F,L,13560,48750.0,878258997.0
1996-11-01,S,F,27389,55500.0,1748231492.0
1996-11-01,S,L,2417,49500.0,125270375.0
1996-11-01,T,F,27516,46332.5,1532592573.0
1996-11-01,T,L,2640,35000.0,120638618.0
1996-12-01,D,F,23199,92000.0,2554214388.0
1996-12-01,D,L,895,77500.0,79669039.0
1996-12-01,F,F,413,49500.0,27905240.0
1996-12-01,F,L,13089,50500.0,875218014.0
1996-12-01,S,F,24565,56000.0,1587591945.0
1996-12-01,S,L,2142,49965.0,113106778.0
1996-12-01,T,F,24973,47000.0,1433991141.0
1996-12-01,T,L,2412,35000.0,105608696.0
1997-01-01,D,F,16310,92950.0,1877542371.0
1997-01-01,D,L,635,76500.0,57246641.0
1997-01-01,F,F,356,46250.0,27284949.0
1997-01-01,F,L,10676,49500.0,723971491.0
1997-01-01,S,F,18866,56500.0,1244018373.0
1997-01-01,S,L,1626,49600.0,86324421.0
1997-01-01,T,F,20221,46500.0,1168334765.0
1997-01-01,T,L,2025,34750.0,91144172.0
1997-02-01,D,F,16527,92500.0,1849746752.0
1997-02-01,D,L,610,81300.0,56765286.0
1997-02-01,F,F,323,47000.0,22547398.0
1997-02-01,F,L,10691,50000.0,731352757.0
1997-02-01,S,F,18964,56500.0,1225586976.0
1997-02-01,S,L,1698,49000.0,90125413.0
1997-02-01,T,F,19562,46500.0,1101224041.0
1997-02-01,T,L,1974,34997.5,89614207.0
1997-03-01,D,F,18774,91000.0,2108242963.0
1997-03-01,D,L,768,78500.0,68215304.0
1997-03-01,F,F,386,48000.0,26095061.0
1997-03-01,F,L,11873,50000.0,819383684.0
1997-03-01,O,F,1,200.0,200.0
1997-03-01,S,F,22047,56000.0,1418682256.0
1997-03-01,S,L,1900,49950.0,100400210.0
1997-03-01,T,F,23478,46950.0,1328326287.0
1997-03-01,T,L,2144,35000.0,94060914.0
1997-04-01,D,F,19728,95000.0,2300222962.0
1997-04-01,D,L,709,79000.0,62934870.0
1997-04-01,F,F,341,45000.0,26387058.0
1997-04-01,F,L,12524,51000.0,881975808.0
1997-04-01,S,F,22475,57500.0,1519525851.0
1997-04-01,S,L,1887,50500.0,106845451.0
1997-04-01,T,F,23613,48000.0,1399217903.0
1997-04-01,T,L,2284,35500.0,103059892.0
1997-05-01,D,F,24045,94950.0,2775128942.0
1997-05-01,D,L,897,80000.0,82183922.0
1997-05-01,F,F,399,46000.0,27476047.0
1997-05-01,F,L,13849,52000.0,981679509.0
1997-05-01,S,F,26311,58500.0,1785892957.0
1997-05-01,S,L,2272,51000.0,121689022.0
1997-05-01,T,F,26608,48500.0,1586979839.0
1997-05-01,T,L,2550,36000.0,118586697.0
1997-06-01,D,F,25288,96500.0,2977708634.0
1997-06-01,D,L,1011,81000.0,96762045.0
1997-06-01,F,F,442,49000.0,35028825.0
1997-06-01,F,L,14629,53000.0,1089978404.0
1997-06-01,O,F,2,154975.0,309950.0
1997-06-01,O,L,2,6107000.0,12214000.0
1997-06-01,S,F,27027,58495.0,1847431009.0
1997-06-01,S,L,2321,51000.0,127632631.0
1997-06-01,T,F,27601,49500.0,1686208086.0
1997-06-01,T,L,2649,36400.0,125912656.0
1997-07-01,D,F,26778,98925.0,3278757400.0
1997-07-01,D,L,968,80000.0,90593167.0
1997-07-01,F,F,469,49995.0,39805754.0
1997-07-01,F,L,15988,53950.0,1175455431.0
1997-07-01,S,F,29197,59950.0,2100782064.0
1997-07-01,S,L,2371,51950.0,132161972.0
1997-07-01,T,F,30122,50000.0,1897922606.0
1997-07-01,T,L,2845,36500.0,149554928.0
1997-08-01,D,F,26219,99950.0,3218948349.0
1997-08-01,D,L,926,81425.0,87867952.0
1997-08-01,F,F,418,44975.0,26480078.0
1997-08-01,F,L,15351,54000.0,1102304533.0
1997-08-01,S,F,28087,59950.0,1992642061.0
1997-08-01,S,L,2422,52000.0,134137688.0
1997-08-01,T,F,28548,49950.0,1751206220.0
1997-08-01,T,L,2735,37000.0,131881587.0
1997-09-01,D,F,22893,98950.0,2834164270.0
1997-09-01,D,L,849,83100.0,81362223.0
1997-09-01,F,F,399,50000.0,35165502.0
1997-09-01,F,L,14635,55000.0,1103720595.0
1997-09-01,S,F,25059,59950.0,1784911614.0
1997-09-01,S,L,2184,52000.0,123230092.0
1997-09-01,T,F,26325,49950.0,1645088288.0
1997-09-01,T,L,2624,37000.0,127324632.0
1997-10-01,D,F,24319,97500.0,2953638136.0
1997-10-01,D,L,896,80000.0,83464096.0
1997-10-01,F,F,452,48997.5,34137950.0
1997-10-01,F,L,15495,54500.0,1115215896.0
1997-10-01,S,F,27181,59000.0,1902850889.0
1997-10-01,S,L,2409,51000.0,133769688.0
1997-10-01,T,F,28270,49400.0,1740746221.0
1997-10-01,T,L,2778,36000.0,132972349.0
1997-11-01,D,F,20326,97950.0,2452813193.0
1997-11-01,D,L,794,80850.0,74939068.0
1997-11-01,F,F,398,50000.0,29897560.0
1997-11-01,F,L,13275,55000.0,970100884.0
1997-11-01,S,F,23029,59500.0,1616431266.0
1997-11-01,S,L,2047,52000.0,111739491.0
1997-11-01,T,F,24248,49950.0,1512624057.0
1997-11-01,T,L,2484,36000.0,117864807.0
1997-12-01,D,F,22517,99650.0,2727046551.0
1997-12-01,D,L,891,83000.0,84956554.0
1997-12-01,F,F,407,48250.0,33419612.0
1997-12-01,F,L,14198,56000.0,1075947248.0
1997-12-01,S,F,24229,59800.0,1734445212.0
