month,county,sales_volume,total_revenue,median_price
1995-01-01,SOUTH GLOUCESTERSHIRE,1,105000.0,105000.0
1995-01-01,SOUTH YORKSHIRE,953,41346580.0,38000.0
1995-01-01,SOUTHAMPTON,221,11448383.0,46000.0
1995-01-01,SOUTHEND-ON-SEA,250,13358839.0,45000.0
1995-01-01,STAFFORDSHIRE,704,39076125.0,46950.0
1995-01-01,STOCKTON-ON-TEES,134,6862893.0,45500.0
1995-01-01,STOKE-ON-TRENT,220,7828375.0,32000.0
1995-01-01,SUFFOLK,787,47509576.0,50000.0
1995-01-01,SURREY,1256,149497992.0,83600.0
1995-01-01,SWANSEA,143,8093307.0,46000.0
1995-01-01,SWINDON,3,125000.0,45000.0
1995-01-01,THAMESDOWN,209,15785158.0,52995.0
1995-01-01,THE VALE OF GLAMORGAN,3,89750.0,2500.0
1995-01-01,THURROCK,134,8035160.0,52000.0
1995-01-01,TORBAY,182,10667601.0,52000.0
1995-01-01,TORFAEN,63,2683351.0,36000.0
1995-01-01,TYNE AND WEAR,815,37629296.0,40500.0
1995-01-01,WARRINGTON,147,9480974.0,54500.0
1995-01-01,WARWICKSHIRE,481,32798468.0,54995.0
1995-01-01,WEST BERKSHIRE,3,441500.0,174000.0
1995-01-01,WEST GLAMORGAN,112,4881299.0,38925.0
1995-01-01,WEST MIDLANDS,1870,101997196.0,46450.0
1995-01-01,WEST SUSSEX,1050,78602343.0,64000.0
1995-01-01,WEST YORKSHIRE,1975,104264573.0,45000.0
1995-01-01,WILTSHIRE,455,35036124.0,62000.0
1995-01-01,WINDSOR AND MAIDENHEAD,140,19209744.0,91750.0
1995-01-01,WOKINGHAM,156,16018855.0,89000.0
1995-01-01,WORCESTERSHIRE,497,33653720.0,56000.0
1995-01-01,WREKIN,2,369950.0,184975.0
1995-01-01,WREXHAM,1,60000.0,60000.0
1995-01-01,YORK,97,5877807.0,52000.0
1995-02-01,AVON,848,54475003.0,54000.0
1995-02-01,BATH AND NORTH EAST SOMERSET,5,549750.0,85000.0
1995-02-01,BEDFORDSHIRE,476,32041318.0,56000.0
1995-02-01,BERKSHIRE,167,14067621.0,66500.0
1995-02-01,BLACKBURN WITH DARWEN,4,131540.0,33500.0
1995-02-01,BLACKPOOL,174,7795104.0,39725.0
1995-02-01,BLAENAU GWENT,39,1094350.0,25000.0
1995-02-01,BOURNEMOUTH,229,13315870.0,50000.0
1995-02-01,BRACKNELL FOREST,125,11943840.0,84000.0
1995-02-01,BRIGHTON AND HOVE,11,283633.0,22000.0
1995-02-01,BUCKINGHAMSHIRE,476,48615881.0,80000.0
1995-02-01,CAERPHILLY,3,3191.0,300.0
