district,county,sales,rnk,share,cum_share
EAST DEVON,DEVON,68981,109,0.00306727433805551,0.4829131996178813
EAST HERTFORDSHIRE,HERTFORDSHIRE,68795,110,0.003059003755911465,0.48597220337379277
CHARNWOOD,LEICESTERSHIRE,68130,111,0.0030294342014717365,0.48900163757526455
ROCHDALE,GREATER MANCHESTER,68119,112,0.003028945081022358,0.49203058265628685
CHERWELL,OXFORDSHIRE,67767,113,0.003013293226642231,0.4950438758829291
BRAINTREE,ESSEX,67057,114,0.002981722724909588,0.4980255986078387
ELMBRIDGE,SURREY,66824,115,0.002971362264481834,0.5009969608723205
WOLVERHAMPTON,WEST MIDLANDS,66596,116,0.0029612241315310696,0.5039581850038516
BLACKPOOL,BLACKPOOL,66558,117,0.0029595344427059424,0.5069177194465575
KING'S LYNN AND WEST NORFOLK,NORFOLK,66517,118,0.002957711357394621,0.5098754308039521
ISLINGTON,GREATER LONDON,66367,119,0.0029510415330849075,0.512826472337037
WILTSHIRE,WILTSHIRE,66222,120,0.002944594036252185,0.5157710663732893
REIGATE AND BANSTEAD,SURREY,66159,121,0.0029417927100421053,0.5187128590833313
MAIDSTONE,KENT,65738,122,0.0029230727364795103,0.5216359318198108
THANET,KENT,65695,123,0.0029211607201773925,0.5245570925399883
MID SUSSEX,WEST SUSSEX,65562,124,0.002915246809289447,0.5274723393492777
SOUTH KESTEVEN,LINCOLNSHIRE,65278,125,0.00290261860859639,0.5303749579578741
ST ALBANS,HERTFORDSHIRE,64853,126,0.0028837207730522023,0.5332586787309262
WARWICK,WARWICKSHIRE,64365,127,0.002862021611297935,0.5361207003422243
NORTH EAST LINCOLNSHIRE,NORTH EAST LINCOLNSHIRE,64109,128,0.002850638444476025,0.5389713387867002
HORSHAM,WEST SUSSEX,64097,129,0.002850104858531248,0.5418214436452315
CANTERBURY,KENT,63975,130,0.002844680068092681,0.5446661237133242
DACORUM,HERTFORDSHIRE,63463,131,0.00282191373444886,0.5474880374477731
HACKNEY,GREATER LONDON,63131,132,0.002807151189976695,0.5502951886377497
WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,62270,133,0.002768866398438941,0.5530640550361887
HEREFORDSHIRE,HEREFORDSHIRE,62218,134,0.00276655419267824,0.555830609228867
SOUTH OXFORDSHIRE,OXFORDSHIRE,62003,135,0.0027569941111676515,0.5585876033400345
LANCASTER,LANCASHIRE,60867,136,0.0027064813083954235,0.56129408464843
SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,60664,137,0.0026974548128296115,0.5639915394612596
TEIGNBRIDGE,DEVON,60541,138,0.002691985556895647,0.5666835250181552
EAST LINDSEY,LINCOLNSHIRE,60272,139,0.002680024338633561,0.5693635493567888
WORTHING,WEST SUSSEX,60154,140,0.002674777410176587,0.5720383267669654
NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,59091,141,0.0026275105885684193,0.5746658373555338
SWALE,KENT,58820,142,0.002615460439315537,0.5772812977948494
GUILDFORD,SURREY,58733,143,0.0026115919412159037,0.5798928897360652
BRECKLAND,NORFOLK,58722,144,0.0026111028207665248,0.5825039925568318
CHELTENHAM,GLOUCESTERSHIRE,58579,145,0.002604744254924598,0.5851087368117563
SUFFOLK COASTAL,SUFFOLK,58422,146,0.002597763172147098,0.5877064999839035
EASTBOURNE,EAST SUSSEX,58340,147,0.002594117001524455,0.5903006169854279
EASTLEIGH,HAMPSHIRE,58315,148,0.0025930053641395026,0.5928936223495674
WEST BERKSHIRE,WEST BERKSHIRE,57866,149,0.0025730403567057612,0.5954666627062732
WREKIN,WREKIN,57607,150,0.0025615237933976566,0.5980281864996708
COUNTY DURHAM,COUNTY DURHAM,57023,151,0.002535555944085173,0.600563742443756
NORWICH,NORFOLK,56864,152,0.002528485930316877,0.603092228374073
ST HELENS,MERSEYSIDE,56731,153,0.0025225720194289314,0.6056148003935018
GLOUCESTER,GLOUCESTERSHIRE,56150,154,0.002496737566602642,0.6081115379601045
BROADLAND,NORFOLK,56011,155,0.0024905568627423083,0.6106020948228468
BARKING AND DAGENHAM,GREATER LONDON,55982,156,0.0024892673633757634,0.6130913621862225
NORTH HERTFORDSHIRE,HERTFORDSHIRE,55811,157,0.0024816637636626906,0.6155730259498853
IPSWICH,SUFFOLK,55687,158,0.0024761500422333274,0.6180491759921186
SOUTH NORFOLK,NORFOLK,55062,159,0.0024483591076095226,0.620497535099728
CARMARTHENSHIRE,CARMARTHENSHIRE,54991,160,0.002445202057436258,0.6229427371571643
BRACKNELL FOREST,BRACKNELL FOREST,54815,161,0.0024373761302461947,0.6253801132874106
CAERPHILLY,CAERPHILLY,54501,162,0.002423413964691195,0.6278035272521018
EPPING FOREST,ESSEX,54427,163,0.0024201235180317366,0.6302236507701335
PRESTON,LANCASHIRE,53780,164,0.002391354342509174,0.6326150051126427
WAVERLEY,SURREY,53416,165,0.0023751689021842695,0.6349901740148269
SCARBOROUGH,NORTH YORKSHIRE,53311,166,0.0023705000251674703,0.6373606740399944
STRATFORD-ON-AVON,WARWICKSHIRE,53156,167,0.002363607873380767,0.6397242819133752
FAREHAM,HAMPSHIRE,52974,168,0.0023555151532183146,0.6420797970665935
EXETER,DEVON,52940,169,0.0023540033263747795,0.6444338003929683
SEDGEMOOR,SOMERSET,52762,170,0.00234608846819392,0.6467798888611622
WAVENEY,SUFFOLK,52354,171,0.0023279465460715,0.6491078354072337
NORTH KESTEVEN,LINCOLNSHIRE,52249,172,0.002323277669054701,0.6514311130762884
NEWPORT,NEWPORT,52233,173,0.0023225662211283317,0.6537536792974167
ASHFORD,KENT,52024,174,0.0023132729325901313,0.6560669522300069
CHESHIRE EAST,CHESHIRE EAST,51754,175,0.0023012672488326473,0.6583682194788395
SLOUGH,SLOUGH,51504,176,0.0022901508749831254,0.6606583703538226
TAUNTON DEANE,SOMERSET,51018,177,0.0022685406442196545,0.6629269109980422
CHICHESTER,WEST SUSSEX,50980,178,0.0022668509553945273,0.6651937619534368
THE VALE OF GLAMORGAN,THE VALE OF GLAMORGAN,50870,179,0.0022619597509007374,0.6674557217043375
TEST VALLEY,HAMPSHIRE,50843,180,0.0022607591825249893,0.6697164808868625
STAFFORD,STAFFORDSHIRE,50738,181,0.00225609030550819,0.6719725711923707
NORTH NORFOLK,NORFOLK,50678,182,0.0022534223757843044,0.674225993568155
