district,county,sales,rnk,share,cum_share
DERBYSHIRE DALES,DERBYSHIRE,26188,343,0.001164462393485129,0.9588036078235794
NORTH CORNWALL,CORNWALL,25623,344,0.0011393393885852092,0.9599429472121647
CORBY,NORTHAMPTONSHIRE,24994,345,0.001111370591979812,0.9610543178041444
COPELAND,CUMBRIA,24642,346,0.001095718737599685,0.9621500365417441
DERWENTSIDE,DURHAM,24580,347,0.0010929618768850036,0.9632429984186291
CRAVEN,NORTH YORKSHIRE,24505,348,0.001089626964730147,0.9643326253833593
SEDGEFIELD,DURHAM,24218,349,0.0010768653675508957,0.9654094907509102
EASINGTON,DURHAM,23627,350,0.0010505862597706256,0.9664600770106808
RIBBLE VALLEY,LANCASHIRE,23593,351,0.0010490744329270905,0.9675091514436078
WEST DEVON,DEVON,23279,352,0.001035112267372091,0.96854426371098
BEDFORD,BEDFORD,22963,353,0.0010210611708262951,0.9695653248818062
BLYTH VALLEY,NORTHUMBERLAND,22792,354,0.0010134575711132222,0.9705787824529195
DURHAM,DURHAM,22660,355,0.0010075881257206746,0.9715863705786402
ISLE OF ANGLESEY,ISLE OF ANGLESEY,22297,356,0.0009914471508911686,0.9725778177295313
NORTH WARWICKSHIRE,WARWICKSHIRE,22194,357,0.0009868672048651654,0.9735646849343965
CEREDIGION,CEREDIGION,20973,358,0.0009325748349841,0.9744972597693806
KENNET,WILTSHIRE,20889,359,0.0009288397333706606,0.9754260995027513
MELTON,LEICESTERSHIRE,20805,360,0.0009251046317572212,0.9763512041345085
RYEDALE,NORTH YORKSHIRE,20682,361,0.0009196353758232564,0.9772708395103318
OADBY AND WIGSTON,LEICESTERSHIRE,20444,362,0.0009090525879185114,0.9781798920982503
PENWITH,CORNWALL,19902,363,0.0008849522894127477,0.979064844387663
EDEN,CUMBRIA,19861,364,0.0008831292041014262,0.9799479735917644
PURBECK,DORSET,19651,365,0.0008737914500678277,0.9808217650418323
ELLESMERE PORT AND NESTON,CHESHIRE,19526,366,0.0008682332631430666,0.9816899983049753
BLAENAU GWENT,BLAENAU GWENT,18548,367,0.0008247460086437366,0.9825147443136191
WEAR VALLEY,DURHAM,17988,368,0.0007998453312208073,0.9833145896448399
WANSBECK,NORTHUMBERLAND,17689,369,0.000786550148096779,0.9841011397929367
RICHMONDSHIRE,NORTH YORKSHIRE,17634,370,0.0007841045458498842,0.9848852443387865
MERTHYR TYDFIL,MERTHYR TYDFIL,16722,371,0.0007435520140468279,0.9856287963528334
RUTLAND,RUTLAND,16285,372,0.0007241205925578634,0.9863529169453912
CHESTER-LE-STREET,DURHAM,15899,373,0.0007069569113342014,0.9870598738567254
WEST SOMERSET,SOMERSET,15744,374,0.0007000647595474977,0.9877599386162729
NORTH SHROPSHIRE,SHROPSHIRE,15730,375,0.0006994422426119246,0.9884593808588849
TYNEDALE,NORTHUMBERLAND,15164,376,0.0006742747722166067,0.9891336556311014
CASTLE MORPETH,NORTHUMBERLAND,13160,377,0.0005851659194388383,0.9897188215505403
PLYMOUTH,DEVON,12486,378,0.000555196175540527,0.9902740177260808
BRIDGNORTH,SHROPSHIRE,11805,379,0.000524915173174429,0.9907989328992552
NOTTINGHAM,NOTTINGHAMSHIRE,11200,380,0.0004980135484585858,0.9912969464477138
SOUTH SHROPSHIRE,SHROPSHIRE,11177,381,0.0004969908420644298,0.9917939372897783
OSWESTRY,SHROPSHIRE,11096,382,0.0004933891369371847,0.9922873264267155
NEWBURY,BERKSHIRE,9248,383,0.000411216901441518,0.992698543328157
PETERBOROUGH,CAMBRIDGESHIRE,9115,384,0.0004053029905535723,0.9931038463187105
THE WREKIN,SHROPSHIRE,9000,385,0.0004001894585827922,0.9935040357772933
ALNWICK,NORTHUMBERLAND,8921,386,0.00039667668444634324,0.9939007124617396
THAMESDOWN,THAMESDOWN,8882,387,0.00039494253012581777,0.9942956549918655
ROCHESTER UPON MEDWAY,KENT,8047,388,0.0003578138414684143,0.9946534688333339
DERBY,DERBYSHIRE,7548,389,0.0003356255592647684,0.9949890943925986
CITY OF LONDON,GREATER LONDON,7298,390,0.00032450918541524637,0.9953136035780139
BRIGHTON,EAST SUSSEX,7232,391,0.00032157446271897255,0.9956351780407329
BERWICK-UPON-TWEED,NORTHUMBERLAND,6943,392,0.0003087239345489251,0.9959439019752818
BLACKBURN,LANCASHIRE,6241,393,0.00027750915677946734,0.9962214111320613
BRISTOL,AVON,5802,394,0.0002579888042997067,0.996479399936361
TEESDALE,DURHAM,5728,395,0.0002546983576402482,0.9967340982940013
GILLINGHAM,KENT,5712,396,0.00025398690971387876,0.9969880852037151
HOVE,EAST SUSSEX,5123,397,0.00022779673292440492,0.9972158819366396
KINGSTON UPON HULL,HUMBERSIDE,3780,398,0.00016807957260477272,0.9973839615092442
WOODSPRING,AVON,3650,399,0.00016229905820302126,0.9975462605674473
SOUTH HEREFORDSHIRE,HEREFORD AND WORCESTER,3116,400,0.00013855448366044228,0.9976848150511077
HEREFORD,HEREFORD AND WORCESTER,2851,401,0.00012677112737994895,0.9978115861784878
NORTHAVON,AVON,2846,402,0.0001265487999029585,0.9979381349783907
NORTH BEDFORDSHIRE,BEDFORDSHIRE,2801,403,0.00012454785261004455,0.9980626828310007
THE EAST YORKSHIRE BOROUGH OF BEVERLEY,HUMBERSIDE,2504,404,0.0001113416004768124,0.9981740244314775
LEOMINSTER,HEREFORD AND WORCESTER,1913,405,8.506249269654238e-05,0.9982590869241741
EAST YORKSHIRE,HUMBERSIDE,1844,406,8.199437351407431e-05,0.9983410812976882
VALE OF GLAMORGAN,SOUTH GLAMORGAN,1775,407,7.892625433160624e-05,0.9984200075520198
LANGBAURGH-ON-TEES,CLEVELAND,1765,408,7.848159937762535e-05,0.9984984891513974
OGWR,MID GLAMORGAN,1734,409,7.710316902028462e-05,0.9985755923204176
KINGSWOOD,AVON,1498,410,6.660931210633585e-05,0.9986422016325239
TAFF-ELY,MID GLAMORGAN,1484,411,6.598679517076262e-05,0.9987081884276947
BATH,AVON,1377,412,6.12289871631672e-05,0.9987694174148579
GREAT GRIMSBY,HUMBERSIDE,1347,413,5.989502230122456e-05,0.9988293124371591
WANSDYKE,AVON,1327,414,5.9005712393262804e-05,0.9988883181495524
CLEETHORPES,HUMBERSIDE,1320,415,5.8694453925476184e-05,0.9989470126034778
RHYMNEY VALLEY,MID GLAMORGAN,1256,416,5.5848662219998555e-05,0.9990028612656979
MONMOUTH,GWENT,1229,417,5.464809384425018e-05,0.9990575093595421
WREXHAM MAELOR,CLWYD,1224,418,5.4425766367259734e-05,0.9991119351259093
GLANFORD,HUMBERSIDE,1125,419,5.0023682322849025e-05,0.9991619588082322
ALYN AND DEESIDE,CLWYD,990,420,4.402084044410714e-05,0.9992059796486763
BOOTHFERRY,HUMBERSIDE,985,421,4.37985129671167e-05,0.9992497781616435
ABERCONWY,GWYNEDD,866,422,3.850711901474422e-05,0.9992882852806582
RHUDDLAN,CLWYD,861,423,3.8284791537753786e-05,0.9993265700721959
LLANELLI,DYFED,840,424,3.735101613439394e-05,0.9993639210883304
COLWYN,CLWYD,840,425,3.735101613439394e-05,0.9994012721044647
HOLDERNESS,HUMBERSIDE,826,426,3.6728499198820706e-05,0.9994380006036636
DELYN,CLWYD,818,427,3.6372775235636e-05,0.9994743733788992
LLIW VALLEY,WEST GLAMORGAN,800,428,3.5572396318470416e-05,0.9995099457752177
YNYS MON-ISLE OF ANGLESEY,GWYNEDD,780,429,3.468308641050866e-05,0.9995446288616282
NEATH,WEST GLAMORGAN,770,430,3.423843145652777e-05,0.9995788672930848
RHONDDA,MID GLAMORGAN,745,431,3.312679407157557e-05,0.9996119940871563
SCUNTHORPE,HUMBERSIDE,705,432,3.1348174255652055e-05,0.9996433422614119
PRESELI PEMBROKESHIRE,DYFED,670,433,2.9791881916718974e-05,0.9996731341433287
ISLWYN,GWENT,668,434,2.9702950925922797e-05,0.9997028370942546
CYNON VALLEY,MID GLAMORGAN,627,435,2.787986561460119e-05,0.9997307169598691
ARFON,GWYNEDD,604,436,2.6857159220445165e-05,0.9997575741190896
MONTGOMERYSHIRE,POWYS,567,437,2.5211935890715908e-05,0.9997827860549804
SOUTH PEMBROKESHIRE,DYFED,500,438,2.223274769904401e-05,0.9998050188026794
MEDINA,ISLE OF WIGHT,481,439,2.1387903286480336e-05,0.9998264067059659
PORT TALBOT,WEST GLAMORGAN,478,440,2.1254506800286074e-05,0.9998476612127661
CARMARTHEN,DYFED,477,441,2.1210041304887985e-05,0.9998688712540711
GLYNDWR,CLWYD,438,442,1.947588698436255e-05,0.9998883471410555
BRECKNOCK,POWYS,435,443,1.934249049816829e-05,0.9999076896315535
ISLES OF SCILLY,ISLES OF SCILLY,397,444,1.7652801673040942e-05,0.9999253424332266
SOUTH WIGHT,ISLE OF WIGHT,394,445,1.751940518684668e-05,0.9999428618384134
MEIRIONNYDD,GWYNEDD,392,446,1.7430474196050503e-05,0.9999602923126095
DINEFWR,DYFED,307,447,1.3650907087213022e-05,0.9999739432196967
DWYFOR,GWYNEDD,262,448,1.1649959794299061e-05,0.999985593179491
RADNORSHIRE,POWYS,198,449,8.804168088821429e-06,0.9999943973475799
ST MARY'S,ISLES OF SCILLY,73,450,3.2459811640604254e-06,0.9999976433287439
CARDIGANSHIRE,CEREDIGION,14,451,6.225169355732323e-07,0.9999982658456795
RADNOR,POWYS,13,452,5.780514401751442e-07,0.9999988438971197
BRACKNELL,BERKSHIRE,6,453,2.6679297238852814e-07,0.9999991106900921
ST MARTIN'S,ISLES OF SCILLY,2,454,8.893099079617604e-08,0.9999991996210829
CHILTERN,HERTFORDSHIRE,2,455,8.893099079617604e-08,0.9999992885520737
LUTON,BEDFORDSHIRE,1,456,4.446549539808802e-08,0.999999333017569
BRYHER,ISLES OF SCILLY,1,457,4.446549539808802e-08,0.9999993774830644
DERBY,LEICESTERSHIRE,1,458,4.446549539808802e-08,0.9999994219485598
RICHMOND UPON THAMES,SURREY,1,459,4.446549539808802e-08,0.9999994664140552
KINGSTON UPON THAMES,SURREY,1,460,4.446549539808802e-08,0.9999995108795506
LEICESTER,LEICESTERSHIRE,1,461,4.446549539808802e-08,0.999999555345046
SUTTON,SURREY,1,462,4.446549539808802e-08,0.9999995998105414
STOCKTON-ON-TEES,CLEVELAND,1,463,4.446549539808802e-08,0.9999996442760368
WOKINGHAM,BERKSHIRE,1,464,4.446549539808802e-08,0.9999996887415322
CHESHIRE WEST AND CHESTER,CHESHIRE,1,465,4.446549539808802e-08,0.9999997332070276
BOURNEMOUTH,DORSET,1,466,4.446549539808802e-08,0.999999777672523
WEST BERKSHIRE,BERKSHIRE,1,467,4.446549539808802e-08,0.9999998221380184
EAST YORKSHIRE,WEST YORKSHIRE,1,468,4.446549539808802e-08,0.9999998666035138
READING,BERKSHIRE,1,469,4.446549539808802e-08,0.9999999110690092
BURY,LANCASHIRE,1,470,4.446549539808802e-08,0.9999999555345046
MILTON KEYNES,BUCKINGHAMSHIRE,1,471,4.446549539808802e-08,1.0
