feature,coef,abs_coef
cat__district_KENSINGTON AND CHELSEA,0.462270757001166,0.462270757001166
cat__county_GREATER LONDON,0.39725371222600864,0.39725371222600864
cat__district_CITY OF WESTMINSTER,0.3398489150871897,0.3398489150871897
cat__county_SURREY,0.2855678243089971,0.2855678243089971
cat__district_CAMDEN,0.2608925524599827,0.2608925524599827
cat__district_CAMBRIDGE,0.25637659127436685,0.25637659127436685
cat__county_HERTFORDSHIRE,0.23875872130518158,0.23875872130518158
cat__district_HAMMERSMITH AND FULHAM,0.2364467190609075,0.2364467190609075
cat__county_BUCKINGHAMSHIRE,0.2341676196329827,0.2341676196329827
cat__district_BARKING AND DAGENHAM,-0.22470322249430738,0.22470322249430738
cat__district_CITY OF LONDON,0.21700530640541124,0.21700530640541124
cat__property_type_D,0.21681533307353493,0.21681533307353493
cat__district_BEXLEY,-0.19321071325491365,0.19321071325491365
cat__district_EPPING FOREST,0.189683679931153,0.189683679931153
cat__district_WINDSOR AND MAIDENHEAD,0.18413123400933365,0.18413123400933365
cat__county_WINDSOR AND MAIDENHEAD,0.18413123400933365,0.18413123400933365
cat__district_TRAFFORD,0.18383713710872648,0.18383713710872648
cat__county_OXFORDSHIRE,0.18214724132732454,0.18214724132732454
cat__district_SEVENOAKS,0.17726917739589548,0.17726917739589548
cat__district_BURNLEY,-0.17673776449055634,0.17673776449055634
cat__district_HAVERING,-0.1747054432149934,0.1747054432149934
cat__district_PETERBOROUGH,-0.17094093611997274,0.17094093611997274
cat__district_SOUTH BUCKS,0.16866871696869978,0.16866871696869978
cat__district_ISLINGTON,0.16780039019136733,0.16780039019136733
cat__district_SOLIHULL,0.16742574507869604,0.16742574507869604
cat__district_TENDRING,-0.1649551692974166,0.1649551692974166
cat__district_DERBYSHIRE DALES,0.16414387146553455,0.16414387146553455
cat__district_FENLAND,-0.16295538774152613,0.16295538774152613
cat__district_TUNBRIDGE WELLS,0.15864492859497292,0.15864492859497292
cat__district_SOUTH LAKELAND,0.15624368491328466,0.15624368491328466
cat__district_BRENTWOOD,0.15556977719981369,0.15556977719981369
cat__district_NEWHAM,-0.15464596278007678,0.15464596278007678
cat__county_WEST SUSSEX,0.15431664874792395,0.15431664874792395
cat__district_ELMBRIDGE,0.15392232138972237,0.15392232138972237
cat__district_BOLSOVER,-0.15317544207698958,0.15317544207698958
cat__district_RIBBLE VALLEY,0.15189001797937024,0.15189001797937024
cat__county_HAMPSHIRE,0.14858226204370314,0.14858226204370314
cat__district_MACCLESFIELD,0.14792518535091306,0.14792518535091306
cat__district_RUSHCLIFFE,0.14627981569082799,0.14627981569082799
cat__district_WANDSWORTH,0.1445343180778507,0.1445343180778507
cat__district_RICHMOND UPON THAMES,0.14421377226119259,0.14421377226119259
cat__district_WANSBECK,-0.14293409480446218,0.14293409480446218
cat__district_CROYDON,-0.14267559524000067,0.14267559524000067
cat__district_BLAENAU GWENT,-0.1425082356062137,0.1425082356062137
cat__county_BLAENAU GWENT,-0.1425082356062137,0.1425082356062137
cat__county_COUNTY DURHAM,-0.1423151321751957,0.1423151321751957
cat__district_COUNTY DURHAM,-0.1423151321751957,0.1423151321751957
cat__district_COTSWOLD,0.14083999413940096,0.14083999413940096
cat__district_FYLDE,0.13993056005500487,0.13993056005500487
cat__district_OXFORD,0.13926707604827726,0.13926707604827726
cat__district_BRIGHTON AND HOVE,0.13806436243497192,0.13806436243497192
cat__county_BRIGHTON AND HOVE,0.13806436243497192,0.13806436243497192
cat__district_BARROW-IN-FURNESS,-0.13535800332574557,0.13535800332574557
cat__district_THE WREKIN,-0.13401993532737483,0.13401993532737483
cat__district_ROCHESTER UPON MEDWAY,-0.13300296725810143,0.13300296725810143
cat__district_MERTHYR TYDFIL,-0.1312256278513204,0.1312256278513204
cat__county_MERTHYR TYDFIL,-0.1312256278513204,0.1312256278513204
cat__district_PLYMOUTH,-0.13066695695891076,0.13066695695891076
cat__district_ST ALBANS,0.1304103607536334,0.1304103607536334
cat__district_NUNEATON AND BEDWORTH,-0.1286647154193147,0.1286647154193147
cat__district_WARWICK,0.1264980386050183,0.1264980386050183
cat__district_CASTLE MORPETH,0.12579674519156683,0.12579674519156683
cat__district_WOKINGHAM,0.12573392688629542,0.12573392688629542
cat__county_WOKINGHAM,0.12572081573427518,0.12572081573427518
cat__district_PENDLE,-0.1251843418878836,0.1251843418878836
cat__district_WINCHESTER,0.1234963415881138,0.1234963415881138
cat__district_STRATFORD-ON-AVON,0.12310815805662441,0.12310815805662441
cat__county_HUMBERSIDE,-0.12175259043893467,0.12175259043893467
cat__district_HILLINGDON,-0.12115407184389174,0.12115407184389174
cat__district_WALTHAM FOREST,-0.11983552636700436,0.11983552636700436
cat__property_type_F,-0.11940548965308653,0.11940548965308653
cat__county_ESSEX,0.11934516301168367,0.11934516301168367
cat__district_STEVENAGE,-0.11881747249624043,0.11881747249624043
cat__district_HARROGATE,0.11861612593233264,0.11861612593233264
cat__district_CORBY,-0.11860377743786303,0.11860377743786303
cat__county_LINCOLNSHIRE,-0.11760006195216706,0.11760006195216706
cat__district_HYNDBURN,-0.11717453272835997,0.11717453272835997
cat__county_STOKE-ON-TRENT,-0.11661904826007813,0.11661904826007813
cat__district_STOKE-ON-TRENT,-0.11661904826007813,0.11661904826007813
cat__district_COPELAND,-0.1165482503068818,0.1165482503068818
cat__district_RHONDDA CYNON TAFF,-0.11629660933061467,0.11629660933061467
cat__county_RHONDDA CYNON TAFF,-0.11629660933061467,0.11629660933061467
cat__district_EASINGTON,-0.11620478482608185,0.11620478482608185
