county,district,n_sales,median_price,avg_price,iqr_price,new_build_rate,freehold_rate,share_flat,share_semi,share_detached,share_terraced,share_other,district_segment
CUMBRIA,BARROW-IN-FURNESS,31156,66500.0,82786.08531262036,71000.0,0.04130825523173706,0.9776608036975222,0.024232892540762614,0.269803569135961,0.10678520991141353,0.5956477083065862,0.0035306201052766723,1
ESSEX,BASILDON,74013,142000.0,175764.1323145934,129750.0,0.11183170524097118,0.8185994352343507,0.1706051639576831,0.2462135030332509,0.2255684812127599,0.35432964479213114,0.0032832070041749423,0
NOTTINGHAMSHIRE,ASHFIELD,47979,85000.0,99086.70324516976,72500.0,0.15738135434252484,0.9748014756455949,0.02173867733800204,0.3702661581108402,0.3197440546905938,0.2843744138060401,0.003876696054523854,1
KENT,SWALE,58820,130000.0,148964.1841550493,109000.0,0.12516150969058143,0.9108296497789867,0.08575314518871133,0.2817749064943897,0.23140088405304318,0.3964297857871472,0.004641278476708603,1
LANCASHIRE,SOUTH RIBBLE,45432,110000.0,123122.67051857722,90000.0,0.12455978165169924,0.8210072195809122,0.0497666842754006,0.43799524564183834,0.27115249163585137,0.23734372248635324,0.003741855960556436,1
SOUTH YORKSHIRE,SHEFFIELD,181222,95500.0,125211.80545408394,88000.0,0.09019324364591495,0.4574610146670934,0.13273774707265124,0.3518943616117248,0.16541589873194204,0.34505192526293715,0.004900067320744722,0
HERTFORDSHIRE,STEVENAGE,32578,140000.0,155127.05304193014,106000.0,0.11268340597949536,0.8202467923138315,0.17536374240284855,0.16333108232549573,0.12944318251580822,0.5284854809994475,0.0033765117564000247,0
DURHAM,DURHAM,22660,80000.0,101426.44099735217,79950.0,0.14545454545454545,0.8332303618711385,0.07471315092674316,0.38684907325684026,0.22802294792586056,0.310414827890556,0.0,1
HERTFORDSHIRE,WATFORD,43301,170000.0,203686.06782753285,143000.0,0.10420082677074433,0.618438373247731,0.37105378628669083,0.20225860834622758,0.08071407126856192,0.3416780212928108,0.004295512805708875,0
HERTFORDSHIRE,THREE RIVERS,36273,227500.0,299816.9401483197,217000.0,0.1040167617787335,0.7878587379042263,0.20309872356849448,0.29901028313070327,0.24494803297218318,0.24966228324097814,0.003280677087640945,0
NORTHAMPTONSHIRE,KETTERING,48170,108500.0,126550.8804027403,94225.0,0.14448827070790948,0.9268216732406062,0.06367033423292506,0.3156944156113764,0.29848453394228774,0.31000622794270294,0.01214448827070791,1
LEICESTERSHIRE,MELTON,20805,126950.0,153668.14890651286,108250.0,0.10247536649843787,0.9663542417688056,0.026051429944724827,0.35270367700072097,0.4159577024753665,0.20168228791155973,0.003604902667627974,1
HUMBERSIDE,GLANFORD,1125,43500.0,48912.080888888886,24000.0,0.1768888888888889,0.9893333333333333,0.008888888888888889,0.3848888888888889,0.44266666666666665,0.16355555555555557,0.0,1
CLEVELAND,LANGBAURGH-ON-TEES,1765,42500.0,46229.934844192634,22000.0,0.10538243626062323,0.9563739376770538,0.03002832861189802,0.43286118980169974,0.19206798866855523,0.345042492917847,0.0,1
GWYNEDD,ABERCONWY,866,46500.0,53281.30369515011,28337.5,0.1697459584295612,0.8868360277136259,0.08198614318706697,0.36374133949191684,0.3533487297921478,0.20092378752886836,0.0,1
NOTTINGHAMSHIRE,GEDLING,47294,105000.0,123716.7724658519,90000.0,0.07447033450331966,0.9134351080475325,0.07533725208271662,0.3566414344314289,0.3480568359622785,0.21776546707827632,0.0021990104452996153,1
MEDWAY,MEDWAY,97025,132500.0,149371.06493171863,95045.0,0.07318732285493429,0.87017778922958,0.11998969337799537,0.2586343725843855,0.12158721978871424,0.49638752898737437,0.0034011852615305335,0
MILTON KEYNES,MILTON KEYNES,121296,139000.0,164775.60942652685,129612.5,0.17530668777206174,0.814800158290463,0.14111759662313678,0.27437013586598075,0.29292804379369475,0.2885091017016225,0.003075122015565229,0
NORTHAMPTONSHIRE,WELLINGBOROUGH,33309,107000.0,125101.65441772495,92000.0,0.10663784562730794,0.9338016752229127,0.05731183764147828,0.33720616049716295,0.2769521750878141,0.3241766489537362,0.0043531778198084604,1
POWYS,POWYS,37257,120000.0,139628.41812276887,109000.0,0.08073650589151032,0.9721931449123654,0.02399549078025606,0.2520063343801165,0.4674557801218563,0.2465576938561881,0.009984700861583058,1
DERBYSHIRE,HIGH PEAK,37477,117500.0,136182.54313312165,100000.0,0.08928142594124397,0.6194732769431919,0.08546575232809457,0.2872161592443365,0.23814606291859006,0.38482269125063373,0.004349334258345119,0
LEICESTERSHIRE,NORTH WEST LEICESTERSHIRE,40885,120000.0,141177.98544698543,100000.0,0.16722514369573194,0.966760425583955,0.025950837715543598,0.31324446618564267,0.41871101871101873,0.23744649627002568,0.004647181117769353,1
HAMPSHIRE,WINCHESTER,48734,224000.0,284944.33885993354,202937.5,0.1300119013419789,0.8328887429720524,0.15865720031189723,0.22446341363319244,0.3421430623384085,0.26987318914925923,0.004863134567242582,0
WREKIN,WREKIN,57607,112000.0,126665.31254882218,87368.5,0.15128369816168175,0.9124932733869148,0.06504417865884354,0.3107608450361935,0.33577516621243947,0.28359400767267867,0.0048258024198448105,1
THE VALE OF GLAMORGAN,THE VALE OF GLAMORGAN,50870,124850.0,154246.14843719284,114050.0,0.11283664242185965,0.8222724592097503,0.11570670336150973,0.27814035777471985,0.2628268134460389,0.33988598388047964,0.0034401415372518184,1
CITY OF BRISTOL,CITY OF BRISTOL,174853,144000.0,174385.45905989603,118500.0,0.0799700319697117,0.6572892658404489,0.29288602426037874,0.21805745397562523,0.05063682064362636,0.43393021566687445,0.004489485453495222,0
NORFOLK,NORWICH,56864,119995.0,135723.49562113112,97500.0,0.09121764209341587,0.7477314293753518,0.2262767304445695,0.20835678109172764,0.12209833989870568,0.4388541080472707,0.004414040517726505,0
KENT,ASHFORD,52024,157995.0,190255.3462632631,125000.0,0.17666846071044134,0.9084076580039981,0.08498000922651085,0.2844456404736276,0.3346916807627249,0.2910771951407043,0.004805474396432416,1
GLOUCESTERSHIRE,TEWKESBURY,37611,150000.0,180187.62340804553,130050.0,0.1427773789582835,0.9092020951317433,0.0826353992183138,0.32370848953763526,0.3276169205817447,0.2614926484273218,0.004546542234984446,1
GREATER MANCHESTER,SALFORD,91365,92000.0,111044.83525420018,82000.0,0.17059048869917365,0.4542001860668746,0.24949378864992064,0.3000820883270399,0.0998412959010562,0.34468341268538283,0.005899414436600449,0
OXFORDSHIRE,VALE OF WHITE HORSE,48863,198000.0,240609.24382457073,165000.0,0.11526103595767759,0.8414751447925833,0.14035159527658964,0.3084951804023494,0.33911139307860755,0.20790782391584633,0.004134007326607044,0
LEICESTER,LEICESTER,94389,97000.0,112391.84307493459,80500.0,0.09554079394844739,0.8814056722711333,0.1020563836887773,0.3318183262880208,0.10843424551589698,0.44838911313818347,0.009301931369121401,0
GREATER LONDON,BROMLEY,139391,210000.0,261387.89645672962,190005.0,0.050878464176309805,0.6630915912792074,0.33333572468810757,0.26521798394444407,0.15223364492686042,0.24657976483417152,0.002632881606416483,0
WEST MIDLANDS,SOLIHULL,80317,160000.0,201716.09076534232,145500.0,0.09874621811073621,0.7403787492062701,0.167561039381451,0.3397786271897606,0.2899012662325535,0.19943473984337065,0.0033243273528642753,0
LANCASHIRE,WEST LANCASHIRE,36261,118000.0,141436.35302391,110000.0,0.10868426132759715,0.8091889357712142,0.05421803039077797,0.37221808554645486,0.33065828300377814,0.23838283555334933,0.004522765505639668,1
HARTLEPOOL,HARTLEPOOL,35933,68000.0,87847.26173712187,76500.0,0.144908579856956,0.9362424512286756,0.049564467202849745,0.29549439234130187,0.20660674032226645,0.4432415885119528,0.005092811621629143,1
HAMPSHIRE,HAVANT,48596,143000.0,168024.35941229732,130000.0,0.06387356984113919,0.843999506132192,0.1520495514034077,0.2879455099185118,0.28348012182072596,0.27368507696106675,0.00283973989628776,0
NORTH YORKSHIRE,CRAVEN,24505,130000.0,157709.10965109162,124000.0,0.09128749234850031,0.9294837788206488,0.060191797592328095,0.2686798612528056,0.2239542950418282,0.4418281983268721,0.005345847786166089,1
CORNWALL,CARRICK,28512,120000.0,150859.79001823792,128000.0,0.09041806958473625,0.8464506172839507,0.1366442199775533,0.21282267115600448,0.3452581369248036,0.3052749719416386,0.0,1
BEDFORDSHIRE,BEDFORD,43012,116000.0,134705.05735608668,99000.0,0.10936482841997582,0.8565516600018599,0.13656653957035245,0.29761461917604387,0.2615084162559286,0.3043104249976751,0.0,1
DERBYSHIRE,SOUTH DERBYSHIRE,42724,118000.0,138476.54484598822,97000.0,0.2072605561277034,0.9573307742720719,0.03300252785319727,0.3263505289766876,0.41873420091751706,0.21896358018912088,0.0029491620634772026,1
LANCASHIRE,RIBBLE VALLEY,23593,131950.0,163328.11333870215,135000.0,0.10965116771923876,0.694104183444242,0.04539482049760522,0.2547789598609757,0.30623490018225746,0.3891408468613572,0.004450472597804433,1
BLAENAU GWENT,BLAENAU GWENT,18548,56000.0,66804.1127884408,49000.0,0.052296743584213934,0.9535259866292862,0.015958593918481777,0.1881065343972396,0.12766875134785421,0.6623355617856372,0.005930558550787147,1
CORNWALL,NORTH CORNWALL,25623,117000.0,144616.74335557898,117375.0,0.12656597588104437,0.9112125824454591,0.0809819302969988,0.20173281817117433,0.4636459430979979,0.253639308433829,0.0,1
REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,46654,84000.0,98673.87154370472,80000.0,0.09523299181206328,0.9415698546748403,0.04737000042868779,0.4154627684657264,0.203390920392678,0.3303253740300939,0.0034509366828139065,1
CUMBRIA,CARLISLE,44729,87500.0,108594.95063605267,82500.0,0.12137539403966106,0.885577589483333,0.0839500100605871,0.33966777705739004,0.22584900176619196,0.3466878311609918,0.0038453799548391425,1
WARWICKSHIRE,NORTH WARWICKSHIRE,22194,116500.0,143394.18982607912,100000.0,0.06997386681084979,0.8795620437956204,0.07240695683518068,0.361899612507885,0.24943678471659006,0.30994863476615303,0.006308011174191223,1
SUFFOLK,BABERGH,36952,148000.0,183993.09926390994,142000.0,0.08513747564407881,0.9413292920545573,0.052798224723966225,0.262638016886772,0.40636501407231,0.2733816843472613,0.004817059969690409,1
EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,145974,111995.0,130656.44331182266,97951.0,0.11556852590187294,0.9458533711482867,0.05388630852069547,0.35781029498403827,0.34336251661254746,0.24171427788510283,0.0032266019976160136,1
SURREY,WOKING,48882,209950.0,269050.0830776155,184000.0,0.10449654269465243,0.702876314389755,0.287774640972137,0.2263000695552555,0.2566998077001759,0.2263000695552555,0.0029254122171760567,0
GREATER LONDON,WALTHAM FOREST,88480,167000.0,194270.17097649185,159995.0,0.029769439421338157,0.5953661844484629,0.3881668173598553,0.10252034358047016,0.012432188065099457,0.49283453887884265,0.004046112115732369,0
WEST MIDLANDS,COVENTRY,114432,98000.0,113861.15111157719,82000.0,0.08737066554809843,0.8704645553691275,0.11607767058165548,0.24463436800894856,0.10175475391498881,0.5347105704697986,0.0028226370246085012,0
FLINTSHIRE,FLINTSHIRE,48360,108982.5,125883.20771298594,89000.0,0.11238626964433417,0.9492142266335815,0.02671629445822994,0.40700992555831267,0.38788254755996693,0.17375930521091812,0.004631927212572374,1
HERTFORDSHIRE,EAST HERTFORDSHIRE,68795,193500.0,241162.96492477652,175000.0,0.10650483320008722,0.7655788938149575,0.2256123264772149,0.22588850933934151,0.23915982266153063,0.30587978777527436,0.0034595537466385637,0
THURROCK,THURROCK,69498,134250.0,149159.12171573282,111500.0,0.15329937552159775,0.7373017928573484,0.2530000863334197,0.2455898011453567,0.12292440070217849,0.37611154277820946,0.0023741690408357074,0
SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,87798,129995.0,155115.07276931137,126192.5,0.0409576527939133,0.6200369028907264,0.3527301305268913,0.27793343811931936,0.1371557438666029,0.2282512130116859,0.003929474475500581,0
WEST BERKSHIRE,WEST BERKSHIRE,57866,212500.0,262618.5361352089,155500.0,0.10337676701344485,0.8318701828362078,0.15508243182525144,0.29924307883731377,0.32732519959907375,0.21299208516227144,0.005357204576089587,0
CHESHIRE,VALE ROYAL,34622,100000.0,127486.30333314078,94500.0,0.1496447345618393,0.8549188377332332,0.05796892149500318,0.3548610709953209,0.3553809716365317,0.23178903587314426,0.0,1
TYNE AND WEAR,GATESHEAD,70049,86500.0,104263.78770574884,81050.0,0.1067110165741124,0.6697026367257206,0.23390769318619822,0.3007608959442676,0.11974475010349898,0.3405758825964682,0.005010778169567017,0
WORCESTERSHIRE,WORCESTER,48460,124000.0,137728.1008460586,99000.0,0.10744944283945522,0.8451712752785803,0.1366281469252992,0.31326867519603796,0.24657449442839455,0.2996491952125464,0.0038794882377218326,1
OXFORDSHIRE,CHERWELL,67767,159000.0,190661.80134873907,138500.0,0.1306092936089837,0.8898578954358316,0.10556760665220535,0.3200820458335178,0.2908495285315862,0.2795756046453288,0.003925214337361843,1
DERBYSHIRE,AMBER VALLEY,50560,97500.0,121570.60332278481,92000.0,0.09816060126582278,0.9765625,0.020905854430379747,0.3413370253164557,0.3458860759493671,0.2875197784810127,0.00435126582278481,1
SOMERSET,SOUTH SOMERSET,72442,137500.0,161514.42250352007,120000.0,0.10223351094668838,0.9008448137820602,0.09331603213605368,0.26857347947323373,0.33194831727450924,0.3016344109770575,0.0045277601391457995,1
CARMARTHENSHIRE,CARMARTHENSHIRE,54991,92000.0,111249.09512465676,90000.0,0.0999799967267371,0.9667763815897147,0.018766707279372987,0.3072502773181066,0.3891909585204852,0.27739084577476314,0.007401211107272099,1
WARRINGTON,WARRINGTON,80074,115000.0,143660.11605514897,105045.0,0.13306441541574043,0.5419362090066688,0.08005095286859655,0.3954467117915928,0.2620326198266603,0.25818617778554837,0.004283537727601968,0
BRIDGEND,BRIDGEND,47647,95000.0,112344.63846622033,85500.0,0.13062732176212563,0.9072134656956367,0.03993955548093269,0.37685478624047686,0.2690200852099817,0.3104497659873654,0.00373580708124331,1
GWYNEDD,GWYNEDD,38939,95000.0,119883.90608387478,100000.0,0.03641593261254783,0.9427823005213283,0.04881994915123655,0.20069852846760317,0.3220421685199928,0.4177302961041629,0.010709057757004545,1
GREATER LONDON,NEWHAM,80890,160000.0,180078.6092224008,148838.75,0.1178761280751638,0.5944987019409074,0.3876375324514773,0.03267400173074546,0.005390035851155891,0.5703053529484485,0.003993077018172827,0
CITY OF DERBY,CITY OF DERBY,87152,100000.0,119560.83586148339,86000.0,0.08399118780980357,0.9284009546539379,0.06149026987332477,0.3761588948044795,0.25276528364237194,0.30552368276115294,0.004061868918670828,1
TORBAY,TORBAY,72531,123500.0,140650.59657250004,107500.0,0.07057671892018585,0.7581861548854972,0.24111069749486427,0.22912961354455336,0.22918476237746618,0.297279783816575,0.003295142766541203,0
SURREY,SPELTHORNE,41217,198000.0,229782.36118591845,153318.0,0.06138243928476114,0.7000509498507897,0.28034548851202173,0.33163500497367593,0.15874517796055027,0.22590193366814665,0.003372394885605454,0
DEVON,WEST DEVON,23279,152500.0,181751.694273809,142000.0,0.11430903389320847,0.91859615962885,0.07581940805017398,0.21783581768976332,0.4012629408479746,0.2993255724043129,0.005756261007775248,1
MERSEYSIDE,KNOWSLEY,40602,80000.0,94614.68851288114,69000.0,0.20045810551204374,0.8113147135609083,0.061154622924979064,0.44369735481010786,0.19597556770602434,0.2951825033249594,0.003989951233929363,1
BEDFORD,BEDFORD,22963,200000.0,239986.35518007228,123250.0,0.19196098070809564,0.8575970038758002,0.14000783869703437,0.29338501066933764,0.2856334102686931,0.2686931150111048,0.012280625353830074,0
HEREFORD AND WORCESTER,HEREFORD,2851,48950.0,55673.82462293932,22500.0,0.043142756927393895,0.8923184847421958,0.10452472816555594,0.3279551034724658,0.175377060680463,0.3921431076815153,0.0,1
