feature,mean_abs_shap
num__year,0.1782994900273815
cat__county,0.11280793915356951
cat__property_type,0.09664747388044136
cat__district,0.033942568846200095
num__is_new_build,0.015045820549156418
cat__duration,0.01478779180175486
num__is_freehold,0.013184494500624606
num__month,0.008921736807337282
num__quarter,0.0019168336309101286
